Filename,Detector ID,mixture,Mixture Flux, THL,Vgrid(V),Vanode(V),Vff1,Vff2,Vwin(V),energy (keV),run_desc,parameter,source,he_flow,stage_pos,duration (s),size (GB),usable, Remarks
DataTake_2026-06-11_15-22-19,W30-F11,ArDME6040_1.2bar_1cm,120/80,1450,,,,,,,Ramp-up,55Fe01,Fe 55 AN7258,FALSE,NA,1200,0.16,FALSE,
DataTake_2026-06-11_15-45-29,W30-F11,ArDME6040_1.2bar_1cm,120/80,1450,410,460,NA,NA,1460,5.9,GridScan,55Fe02,Fe 55 AN7258,FALSE,NA,300,0.08,true,Gain lower than yesterday by a factor of ~3
DataTake_2026-06-11_16-14-18,W30-F11,ArDME8020_1.2bar_1cm,160/40,1450,410,460,NA,NA,1460,5.9,GridScan,55Fe03,Fe 55 AN7258,FALSE,NA,300,0.4,TRUE,"3000 cts/s, Main peak 4000, Escape peak 2000"
DataTake_2026-06-11_16-20-50,W30-F11,ArDME8020_1.2bar_1cm,160/40,1450,420,470,NA,NA,1470,5.9,GridScan,55Fe04,Fe 55 AN7258,FALSE,NA,300,0.4,TRUE,"3570 cts/s, Main peak 5000, Escape peak 2500"
DataTake_2026-06-11_16-29-26,W30-F11,ArDME8020_1.2bar_1cm,160/40,1450,430,480,NA,NA,1480,5.9,GridScan,55Fe05,Fe 55 AN7258,FALSE,NA,300,0.4,TRUE,"2900 cts/s, Main peak 6000, Escape peak 3000"
DataTake_2026-06-11_16-36-15,W30-F11,ArDME8020_1.2bar_1cm,160/40,1450,440,490,NA,NA,1490,5.9,GridScan,55Fe06,Fe 55 AN7258,FALSE,NA,300,0.5,TRUE,"2900 cts/s, Main peak 8000, Escape peak 4000"
DataTake_2026-06-11_16-42-34,W30-F11,ArDME8020_1.2bar_1cm,160/40,1450,450,500,NA,NA,1500,5.9,GridScan,55Fe07,Fe 55 AN7258,FALSE,NA,300,0.5,TRUE,"2800 cts/s, Main peak 9000, Escapre peak 4000"
DataTake_2026-06-11_16-48-43,W30-F11,ArDME8020_1.2bar_1cm,160/40,1450,460,510,NA,NA,1510,5.9,GridScan,55Fe08,Fe 55 AN7258,FALSE,NA,300,0.5,TRUE,"2900 cts/s, Main peak 10000, Escape peak 5000"
DataTake_2026-06-12_15-49-31,W30-F11,ArDME8020_1.2bar_1cm,160/40,1450,,,,,,,Ramp-up,109Cd01,,FALSE,NA,1100,0.06,FALSE,
DataTake_2026-06-12_16-10-45,W30-F11,ArDME8020_1.2bar_1cm,160/40,1450,410,460,NA,NA,1460,22.1,GridScan,109Cd02,,FALSE,NA,600,0.05,TRUE,"60 cts/s three peaks at 4000, 7000, 19000"
DataTake_2026-06-12_16-21-32,W30-F11,ArDME8020_1.2bar_1cm,160/40,1450,410,460,NA,NA,1460,22.1,GridScan,109Cd03,,FALSE,NA,600,0.05,TRUE,60 cts/s three peaks
DataTake_2026-06-12_16-39-59,W30-F11,ArDME8020_1.2bar_1cm,160/40,1450,420,470,NA,NA,1470,22.1,GridScan,109Cd04,,FALSE,NA,1200,0.1,TRUE,60 cts/s three peaks
DataTake_2026-06-12_17-02-39,W30-F11,ArDME8020_1.2bar_1cm,160/40,1450,460,510,NA,NA,1510,22.1,GridScan,109Cd05,,FALSE,NA,1200,0.1,TRUE,"60 cts/s three peaks at 20000, 30000, 80000"
DataTake_2026-06-12_17-24-05,W30-F11,ArDME8020_1.2bar_1cm,160/40,1450,,,,,,,Ramp-down,109Cd05,,FALSE,NA,300,0.03,FALSE,
